0,0.2159773
1,0.2159773
2,0.2374394
3,0.2080703
4,0.2080703
5,0.2110149
6,0.2110149
7,0.2232884
8,0.2232884
9,0.3111442
10,0.3147296
11,0.2669595
12,0.3266457
13,0.3266457
14,0.3266457
15,0.2169014
16,0.3434606
17,0.3525168
18,0.3467256
19,0.3467256
20,0.3467256
21,0.3467256
22,0.3467256
23,0.314637
24,0.2954892
25,0.2954892
26,0.2954892
27,0.2748426
28,0.3220382
29,0.3220382
30,0.3220382
31,0.3220382
32,0.3220382
33,0.3220382
34,0.3220382
35,0.3220382
36,0.2356573
37,0.2730208
38,0.4206475
39,0.4418396
40,0.2589651
41,0.2589651
42,0.2570797
43,0.2840577
44,0.3887443
45,0.2648014
46,0.2547098
47,0.2547098
48,0.4513089
49,0.4857066
50,0.4857066
51,0.4857066
52,0.4857066
53,0.4857066
54,0.3366287
55,0.3418245
56,0.3294694
57,0.3418245
58,0.3418245
59,0.2882857
60,0.3418245
61,0.3772473
62,0.4035995
63,0.5353
64,0.4036
65,0.3912
66,0.4118
67,0.3953
68,0.3994
69,0.4241
70,0.3871
71,0.3871
72,0.383
73,0.4283
74,0.4571
75,0.4941
76,0.3418
77,0.3747
78,0.3747
79,0.2965
80,0.2841
81,0.3294
82,0.4365
83,0.3953
84,0.383
85,0.453
86,0.5394
87,0.4283
88,0.383
89,0.4365
90,0.3953
91,0.4653
92,0.3665
93,0.383
94,0.3665
95,0.3871
96,0.3994
97,0.4118
98,0.3871
99,0.4324
100,0.49
101,0.5559
102,0.5065
103,0.4447
104,0.4159
105,0.4612
106,0.5436
107,0.8895
108,0.8853
109,0.6342
110,0.49
111,0.4365
112,0.4983
113,0.5806
114,0.6795
115,0.5642
116,0.523
117,0.5106
118,0.3953
119,0.3953
120,0.49
121,0.4941
122,0.5518
123,0.5394
124,0.4571
125,0.4077
126,0.3953
127,0.4159
128,0.4571
129,0.35
130,0.3253
131,0.3953
132,0.3541
133,0.35
134,0.3459
135,0.3994
136,0.4036
137,0.3624
138,0.4489
139,0.4777
140,0.3994
141,0.42
142,0.5518
143,0.6589
144,0.5683
145,0.4818
146,0.4736
147,0.4983
148,0.5477
149,0.5724
150,0.5189
151,0.5559
152,0.5394
153,0.63
154,0.6383
155,0.6218
156,0.5889
157,0.4983
158,0.5642
159,0.5724
160,0.6177
161,0.7577
162,0.6753
163,0.5436
164,0.5394
165,0.5147
166,0.5147
167,0.6012
168,0.4612
